project_id,cited_id
https://openalex.org/W3017131514,https://openalex.org/W2337155942
https://openalex.org/W4366262984,https://openalex.org/W2981731882
https://openalex.org/W4366262984,https://openalex.org/W3125997628
https://openalex.org/W4366262984,https://openalex.org/W3182546273
https://openalex.org/W4366262984,https://openalex.org/W3214404698
https://openalex.org/W4366262984,https://openalex.org/W4285605356
https://openalex.org/W4366783381,https://openalex.org/W2770717476
https://openalex.org/W4366783381,https://openalex.org/W3017131514
https://openalex.org/W3113317199,https://openalex.org/W2884430236
https://openalex.org/W2969912247,https://openalex.org/W2017561954
https://openalex.org/W3156614709,https://openalex.org/W3017157646
https://openalex.org/W3182546273,https://openalex.org/W2981731882
https://openalex.org/W4304014045,https://openalex.org/W2981731882
https://openalex.org/W3090117266,https://openalex.org/W2017561954
https://openalex.org/W3090117266,https://openalex.org/W2981731882
https://openalex.org/W4389365236,https://openalex.org/W3209912268
https://openalex.org/W2924260403,https://openalex.org/W3124990081
https://openalex.org/W4386222752,https://openalex.org/W4307968550
https://openalex.org/W3209912268,https://openalex.org/W2337155942
https://openalex.org/W3209912268,https://openalex.org/W2770717476
https://openalex.org/W3212941463,https://openalex.org/W2950865323
https://openalex.org/W3092843175,https://openalex.org/W2969625533
https://openalex.org/W3092843175,https://openalex.org/W2981731882
https://openalex.org/W3092843175,https://openalex.org/W3011648816
https://openalex.org/W3092843175,https://openalex.org/W3014834477
https://openalex.org/W3092843175,https://openalex.org/W3046496872
https://openalex.org/W3037880470,https://openalex.org/W2017561954
https://openalex.org/W3111221273,https://openalex.org/W3043941844
https://openalex.org/W4383913712,https://openalex.org/W4360836968
https://openalex.org/W4291972732,https://openalex.org/W2950865323
https://openalex.org/W4410309438,https://openalex.org/W2884430236
https://openalex.org/W4401587065,https://openalex.org/W2981731882
https://openalex.org/W4313527987,https://openalex.org/W2969625533
https://openalex.org/W4313527987,https://openalex.org/W2981731882
https://openalex.org/W3034272367,https://openalex.org/W2061438946
https://openalex.org/W4401819987,https://openalex.org/W4205154488
https://openalex.org/W3214839373,https://openalex.org/W2770717476
https://openalex.org/W3214839373,https://openalex.org/W3017157646
https://openalex.org/W4323035719,https://openalex.org/W2981731882
https://openalex.org/W4323035719,https://openalex.org/W3011648816
https://openalex.org/W4280525959,https://openalex.org/W2921322865
https://openalex.org/W4280525959,https://openalex.org/W3173591405
https://openalex.org/W4393045038,https://openalex.org/W2884430236
https://openalex.org/W4321506460,https://openalex.org/W2969625533
https://openalex.org/W4405211386,https://openalex.org/W3209912268
https://openalex.org/W4405211386,https://openalex.org/W4388424540
https://openalex.org/W4294691140,https://openalex.org/W2981731882
https://openalex.org/W4294691140,https://openalex.org/W3182546273
https://openalex.org/W4294691140,https://openalex.org/W3204153914
https://openalex.org/W4294691140,https://openalex.org/W4210361514
https://openalex.org/W3184078521,https://openalex.org/W2061438946
https://openalex.org/W4391848979,https://openalex.org/W2981731882
https://openalex.org/W4391848979,https://openalex.org/W3214404698
https://openalex.org/W4391848979,https://openalex.org/W4366262984
https://openalex.org/W4378882744,https://openalex.org/W3014834477
https://openalex.org/W4378882744,https://openalex.org/W3017131514
https://openalex.org/W4378882744,https://openalex.org/W3046496872
https://openalex.org/W4387767134,https://openalex.org/W2981731882
https://openalex.org/W4387767134,https://openalex.org/W3011648816
https://openalex.org/W4387767134,https://openalex.org/W3034272367
https://openalex.org/W4387767134,https://openalex.org/W3046496872
https://openalex.org/W4387767134,https://openalex.org/W3092843175
https://openalex.org/W4387767134,https://openalex.org/W4220706376
https://openalex.org/W4387767134,https://openalex.org/W4380628716
https://openalex.org/W3011648816,https://openalex.org/W2337155942
https://openalex.org/W2999885075,https://openalex.org/W2910707576
https://openalex.org/W3125997628,https://openalex.org/W2981731882
https://openalex.org/W3112597358,https://openalex.org/W3011648816
https://openalex.org/W3112597358,https://openalex.org/W3046496872
https://openalex.org/W3112597358,https://openalex.org/W3092843175
https://openalex.org/W4384155367,https://openalex.org/W3197063311
https://openalex.org/W4380628716,https://openalex.org/W2969625533
https://openalex.org/W4380628716,https://openalex.org/W3014834477
https://openalex.org/W4380628716,https://openalex.org/W4283392904
https://openalex.org/W4391830676,https://openalex.org/W2969625533
https://openalex.org/W4391830676,https://openalex.org/W4247155454
https://openalex.org/W4391830676,https://openalex.org/W4319831789
https://openalex.org/W3165783357,https://openalex.org/W2823329128
https://openalex.org/W4403402994,https://openalex.org/W4317625850
https://openalex.org/W4400948754,https://openalex.org/W2969625533
https://openalex.org/W4400948754,https://openalex.org/W4220747243
https://openalex.org/W3204153914,https://openalex.org/W2981731882
https://openalex.org/W3204153914,https://openalex.org/W3204153914
https://openalex.org/W4388424540,https://openalex.org/W2337155942
https://openalex.org/W4388424540,https://openalex.org/W3017157646
https://openalex.org/W4386380023,https://openalex.org/W3113317199
https://openalex.org/W4321254242,https://openalex.org/W4229447215
https://openalex.org/W4220706376,https://openalex.org/W4220706376
https://openalex.org/W3046496872,https://openalex.org/W3011648816
https://openalex.org/W4281643269,https://openalex.org/W2017561954
https://openalex.org/W3214404698,https://openalex.org/W2981731882
https://openalex.org/W3214404698,https://openalex.org/W3125997628
https://openalex.org/W4210361514,https://openalex.org/W2981731882
https://openalex.org/W2898892040,https://openalex.org/W2770717476
https://openalex.org/W4380988459,https://openalex.org/W2969912247
https://openalex.org/W4308751002,https://openalex.org/W3090117266
