venue_id,name
https://openalex.org/S7560371,Information Fusion
https://openalex.org/S2485537415,IEEE Access
https://openalex.org/S189354248,International Journal of Information Management
https://openalex.org/S68686220,Proceedings of the IEEE
https://openalex.org/S46763546,Academy of Management Review
https://openalex.org/S119620556,Research and Practice in Technology Enhanced Learning
https://openalex.org/S4210201537,International Journal of Educational Technology in Higher Education
https://openalex.org/S4306400194,arXiv (Cornell University)
https://openalex.org/S2764386229,Materials Horizons
https://openalex.org/S171267539,International Journal of Artificial Intelligence in Education
https://openalex.org/S152101599,BMJ Quality & Safety
https://openalex.org/S29875816,IEEE Transactions on Power Electronics
https://openalex.org/S4210180872,Journal of Artificial General Intelligence
https://openalex.org/S207319443,Complexity
https://openalex.org/S2505707916,Wiley Interdisciplinary Reviews Data Mining and Knowledge Discovery
https://openalex.org/S77047749,The Journal of Chemical Physics
https://openalex.org/S123019304,Neural Networks
https://openalex.org/S25671836,Cancer Cell
https://openalex.org/S137519996,Electronic Markets
https://openalex.org/S4220651275,PNAS Nexus
https://openalex.org/S122814990,Artificial Intelligence Review
https://openalex.org/S165559636,International Journal of Human-Computer Interaction
https://openalex.org/S105282323,Reports on Progress in Physics
https://openalex.org/S2738008561,Education Sciences
https://openalex.org/S4210232664,npj Computational Materials
https://openalex.org/S125754415,Proceedings of the National Academy of Sciences
https://openalex.org/S2809516038,National Bureau of Economic Research
https://openalex.org/S168738021,International Journal of Social Robotics
https://openalex.org/S23254222,American Economic Review
https://openalex.org/S93630570,Journal of Product Innovation Management
https://openalex.org/S4306463230,Elsevier eBooks
https://openalex.org/S4210220416,Discover Artificial Intelligence
https://openalex.org/S4210172076,Diagnostics
https://openalex.org/S90422530,IEEE Journal on Selected Areas in Communications
https://openalex.org/S10134376,Sustainability
https://openalex.org/S3035462843,Complex & Intelligent Systems
https://openalex.org/S4210239500,ACS Omega
https://openalex.org/S172073041,Automation in Construction
https://openalex.org/S92709572,Journal of Interactive Marketing
https://openalex.org/S144725990,Learning Media and Technology
https://openalex.org/S4210187594,Journal of Physics Conference Series
https://openalex.org/S139930977,Journal of Artificial Intelligence Research
https://openalex.org/S192051125,Trends in Cognitive Sciences
https://openalex.org/S113497174,Human Resource Management Journal
https://openalex.org/S157921468,ACM Computing Surveys
https://openalex.org/S64187185,Nature Communications
https://openalex.org/S4210234670,Nature Reviews Physics
https://openalex.org/S17147534,Journal of Medical Internet Research
https://openalex.org/S2764970645,Frontiers in Chemistry
https://openalex.org/S110206669,Multimedia Tools and Applications
https://openalex.org/S193263997,Journal of Manufacturing Science and Engineering
https://openalex.org/S186543748,Nature Reviews Drug Discovery
https://openalex.org/S160573970,Journal of Organizational Behavior
https://openalex.org/S2738355984,Administrative Sciences
https://openalex.org/S68497187,Renewable and Sustainable Energy Reviews
https://openalex.org/S16540516,Advances in Engineering Software
https://openalex.org/S4210236180,The Innovation
https://openalex.org/S2739142469,Signal Transduction and Targeted Therapy
https://openalex.org/S4306480736,The Macmillan company eBooks
https://openalex.org/S4210179121,Bioengineering
https://openalex.org/S202381698,PLoS ONE
https://openalex.org/S4210202610,SpringerBriefs in research and innovation governance
https://openalex.org/S61699894,Computers & Geosciences
https://openalex.org/S178238111,Mathematical Problems in Engineering
https://openalex.org/S136120998,Wiley Interdisciplinary Reviews Computational Molecular Science
https://openalex.org/S4210177645,Current Protocols in Bioinformatics
https://openalex.org/S2737427234,Science Advances
https://openalex.org/S4210204056,Journal of Physics Materials
https://openalex.org/S17537316,BMC Medical Ethics
https://openalex.org/S4210205812,Applied Sciences
https://openalex.org/S2736881203,Informing Science The International Journal of an Emerging Transdiscipline
https://openalex.org/S4210167893,Communications Medicine
https://openalex.org/S4210190517,AI & Society
https://openalex.org/S110346167,British Journal of Educational Technology
https://openalex.org/S109387254,Nature Protocols
https://openalex.org/S2484288132,IEEE/CAA Journal of Automatica Sinica
https://openalex.org/S39307421,Technological Forecasting and Social Change
https://openalex.org/S101949793,Sensors
https://openalex.org/S196139623,Artificial Intelligence
https://openalex.org/S4210228708,Environmental Science and Ecotechnology
https://openalex.org/S2497301991,Nano Energy
https://openalex.org/S4210200381,Environmental Technology Reviews
https://openalex.org/S132829192,Molecular Cancer
https://openalex.org/S198098182,Energies
https://openalex.org/S23735784,Philosophy & Technology
https://openalex.org/S125977778,International Journal of Contemporary Hospitality Management
https://openalex.org/S4306400562,Zenodo (CERN European Organization for Nuclear Research)
https://openalex.org/S70979639,Journal of Food Quality
https://openalex.org/S4210222123,Journal of Open Innovation Technology Market and Complexity
https://openalex.org/S3880285,Science
https://openalex.org/S88719806,Environmental Chemistry Letters
https://openalex.org/S4210232537,Computers and Education Open
https://openalex.org/S137773608,Nature
https://openalex.org/S93284759,Journal of Business Research
https://openalex.org/S4210170699,AI and Ethics
https://openalex.org/S157664895,Annals of Surgery
https://openalex.org/S110447773,Cell
https://openalex.org/S30283931,Pharmaceutics
https://openalex.org/S4210198803,Space Science & Technology
https://openalex.org/S14881475,Science and Engineering Ethics
https://openalex.org/S37391459,ACS Catalysis
https://openalex.org/S9692511,Frontiers in Psychology
https://openalex.org/S4210181540,Journal of Composites Science
https://openalex.org/S2764969478,Molecular Therapy — Nucleic Acids
https://openalex.org/S4210225776,Communications Biology
https://openalex.org/S4210188283,Nature Sustainability
https://openalex.org/S4210235149,Frontiers in Sustainable Cities
https://openalex.org/S9070373,Nano-Micro Letters
https://openalex.org/S122867665,Future Medicinal Chemistry
https://openalex.org/S65690446,International Journal of Production Research
https://openalex.org/S2596204836,Frontiers in Environmental Science
https://openalex.org/S10623703,International Journal of Molecular Sciences
https://openalex.org/S2738348041,Technologies
https://openalex.org/S2912241403,Nature Machine Intelligence
https://openalex.org/S85265705,The Journal of Creative Behavior
https://openalex.org/S4210177699,SMPTE Motion Imaging Journal
https://openalex.org/S4210195431,npj Digital Medicine
